date,run_id,scenario,impl,expectation,project_dir,mysql_container,mysql_database,redis_container,stream_key,stream_group,dead_letter_key,voucher_id,fault_user_id,injected_record_id,wait_ms,poll_ms,pending,dead_letters,stream_len,retry_key_count,correctness,run_summary
2026-05-20,2026-05-20-seckill-baseline-lua-stream-fault-injection-r1,seckill-reliability,baseline-lua-stream,baseline,/home/sd101t/IdeaProjects/hm-dianping-baseline,hmdp-mysql,hmdp,hmdp-redis,stream.orders,g1,stream.orders.dlq,11,1,1779241499797-0,15000,200,1,0,2,0,pass,docs/archive/redis-stream/reliability-results/2026-05-20-seckill-baseline-lua-stream-fault-injection-r1.md
2026-05-20,2026-05-20-seckill-reliable-stream-v1-fault-injection-r1,seckill-reliability,reliable-stream-v1,current,/home/sd101t/IdeaProjects/hm-dianping,hmdp-mysql,local_deals,hmdp-redis,stream.orders,g1,stream.orders.dlq,10,1,1779243827418-0,15000,200,0,1,1,0,pass,docs/archive/redis-stream/reliability-results/2026-05-20-seckill-reliable-stream-v1-fault-injection-r1.md
