date,run_id,scenario,implementation,threads,loops,ramp_up_seconds,total_requests,stock,user_count,expected_orders,voucher_id,round,samples,throughput,avg_ms,median_ms,p90_ms,p95_ms,p99_ms,min_ms,max_ms,error_pct,jmeter_elapsed_ms,drain_ms,poll_interval_ms,mysql_orders,mysql_stock,duplicate_orders,redis_stock,redis_order_count,stream_key,stream_group,stream_len,stream_pending,dead_letter_key,stream_dead_letters,correctness,run_summary,jtl_file,summary_csv,aggregate_csv,html_report
2026-05-19,2026-05-19-seckill-reliable-stream-v1-100t-1l-r2,seckill-reliable-v1,reliable-stream-v1,100,1,5,100,100,1000,100,10,2,100,20.59732,3,3,3,3,20,2,20,0.000%,7185,67,50,100,0,0,0,100,stream.orders,g1,100,0,stream.orders.dlq,0,pass,docs/JmeterTestSummary/seckill-reliable-v1/2026-05-19-seckill-reliable-stream-v1-100t-1l-r2-run-summary.md,benchmark/2026-05-19-seckill-reliable-stream-v1-100t-1l-r2.jtl,docs/JmeterTestSummary/seckill-reliable-v1/2026-05-19-seckill-reliable-stream-v1-100t-1l-summary-r2.csv,docs/JmeterTestSummary/seckill-reliable-v1/2026-05-19-seckill-reliable-stream-v1-100t-1l-aggregate-r2.csv,benchmark/report-2026-05-19-seckill-reliable-stream-v1-100t-1l-r2
2026-05-19,2026-05-19-seckill-reliable-stream-v1-100t-1l-r3,seckill-reliable-v1,reliable-stream-v1,100,1,5,100,100,1000,100,10,3,100,20.53388,3,2,3,3,19,2,19,0.000%,7177,73,50,100,0,0,0,100,stream.orders,g1,100,0,stream.orders.dlq,0,pass,docs/JmeterTestSummary/seckill-reliable-v1/2026-05-19-seckill-reliable-stream-v1-100t-1l-r3-run-summary.md,benchmark/2026-05-19-seckill-reliable-stream-v1-100t-1l-r3.jtl,docs/JmeterTestSummary/seckill-reliable-v1/2026-05-19-seckill-reliable-stream-v1-100t-1l-summary-r3.csv,docs/JmeterTestSummary/seckill-reliable-v1/2026-05-19-seckill-reliable-stream-v1-100t-1l-aggregate-r3.csv,benchmark/report-2026-05-19-seckill-reliable-stream-v1-100t-1l-r3
2026-05-19,2026-05-19-seckill-reliable-stream-v1-1000t-1l-r1,seckill-reliable-v1,reliable-stream-v1,1000,1,5,1000,1000,2000,1000,10,1,1000,208.33333,2,1,2,2,29,0,32,0.000%,7213,72,50,1000,0,0,0,1000,stream.orders,g1,1000,0,stream.orders.dlq,0,pass,docs/JmeterTestSummary/seckill-reliable-v1/2026-05-19-seckill-reliable-stream-v1-1000t-1l-r1-run-summary.md,benchmark/2026-05-19-seckill-reliable-stream-v1-1000t-1l-r1.jtl,docs/JmeterTestSummary/seckill-reliable-v1/2026-05-19-seckill-reliable-stream-v1-1000t-1l-summary-r1.csv,docs/JmeterTestSummary/seckill-reliable-v1/2026-05-19-seckill-reliable-stream-v1-1000t-1l-aggregate-r1.csv,benchmark/report-2026-05-19-seckill-reliable-stream-v1-1000t-1l-r1
2026-05-19,2026-05-19-seckill-reliable-stream-v1-5000t-1l-r1,seckill-reliable-v1,reliable-stream-v1,5000,1,5,5000,1000,5000,1000,10,1,5000,1051.96718,26,1,5,42,1116,0,1133,0.000%,7216,80,50,1000,0,0,0,1000,stream.orders,g1,1000,0,stream.orders.dlq,0,pass,docs/JmeterTestSummary/seckill-reliable-v1/2026-05-19-seckill-reliable-stream-v1-5000t-1l-r1-run-summary.md,benchmark/2026-05-19-seckill-reliable-stream-v1-5000t-1l-r1.jtl,docs/JmeterTestSummary/seckill-reliable-v1/2026-05-19-seckill-reliable-stream-v1-5000t-1l-summary-r1.csv,docs/JmeterTestSummary/seckill-reliable-v1/2026-05-19-seckill-reliable-stream-v1-5000t-1l-aggregate-r1.csv,benchmark/report-2026-05-19-seckill-reliable-stream-v1-5000t-1l-r1
2026-05-19,2026-05-19-seckill-reliable-stream-v1-5000t-5l-r1,seckill-reliable-v1,reliable-stream-v1,5000,5,5,25000,1000,5000,1000,10,1,25000,5179.20033,10,1,42,61,100,0,195,0.000%,7229,76,50,1000,0,0,0,1000,stream.orders,g1,1000,0,stream.orders.dlq,0,pass,docs/JmeterTestSummary/seckill-reliable-v1/2026-05-19-seckill-reliable-stream-v1-5000t-5l-r1-run-summary.md,benchmark/2026-05-19-seckill-reliable-stream-v1-5000t-5l-r1.jtl,docs/JmeterTestSummary/seckill-reliable-v1/2026-05-19-seckill-reliable-stream-v1-5000t-5l-summary-r1.csv,docs/JmeterTestSummary/seckill-reliable-v1/2026-05-19-seckill-reliable-stream-v1-5000t-5l-aggregate-r1.csv,benchmark/report-2026-05-19-seckill-reliable-stream-v1-5000t-5l-r1
2026-05-20,2026-05-20-seckill-reliable-stream-v1-1000t-1l-r1,seckill-reliable-v1,reliable-stream-v1,1000,1,5,1000,1000,2000,1000,10,1,1000,205.76132,9,1,2,50,177,0,181,0.000%,7229,72,50,1000,0,0,0,1000,stream.orders,g1,1000,0,stream.orders.dlq,0,pass,docs/JmeterTestSummary/seckill-reliable-v1/2026-05-20-seckill-reliable-stream-v1-1000t-1l-r1-run-summary.md,benchmark/2026-05-20-seckill-reliable-stream-v1-1000t-1l-r1.jtl,docs/JmeterTestSummary/seckill-reliable-v1/2026-05-20-seckill-reliable-stream-v1-1000t-1l-summary-r1.csv,docs/JmeterTestSummary/seckill-reliable-v1/2026-05-20-seckill-reliable-stream-v1-1000t-1l-aggregate-r1.csv,skipped
2026-05-20,2026-05-20-seckill-reliable-stream-v1-5000t-1l-r1,seckill-reliable-v1,reliable-stream-v1,5000,1,5,5000,1000,5000,1000,10,1,5000,1040.79933,9,1,3,27,100,0,1084,0.000%,7241,81,50,1000,0,0,0,1000,stream.orders,g1,1000,0,stream.orders.dlq,0,pass,docs/JmeterTestSummary/seckill-reliable-v1/2026-05-20-seckill-reliable-stream-v1-5000t-1l-r1-run-summary.md,benchmark/2026-05-20-seckill-reliable-stream-v1-5000t-1l-r1.jtl,docs/JmeterTestSummary/seckill-reliable-v1/2026-05-20-seckill-reliable-stream-v1-5000t-1l-summary-r1.csv,docs/JmeterTestSummary/seckill-reliable-v1/2026-05-20-seckill-reliable-stream-v1-5000t-1l-aggregate-r1.csv,skipped
