date,run_id,scenario,implementation,threads,loops,ramp_up_seconds,total_requests,stock,user_count,expected_orders,voucher_id,round,samples,throughput,avg_ms,median_ms,p90_ms,p95_ms,p99_ms,min_ms,max_ms,error_pct,jmeter_elapsed_ms,drain_ms,poll_interval_ms,mysql_orders,mysql_stock,duplicate_orders,redis_stock,redis_order_count,stream_key,stream_group,stream_len,stream_pending,dead_letter_key,stream_dead_letters,correctness,run_summary,jtl_file,summary_csv,aggregate_csv,html_report
2026-05-16,2026-05-16-seckill-baseline-lua-stream-100t-1l-r1,seckill-baseline-lua-stream,baseline-lua-stream,100,1,5,100,100,1000,100,11,1,100,20.49180,2,2,2,2,17,1,17,0.000%,7207,76,50,100,0,0,0,100,,,101,0,,,pass,docs/JmeterTestSummary/seckill-baseline-lua-stream/2026-05-16-seckill-baseline-lua-stream-100t-1l-r1-run-summary.md,benchmark/2026-05-16-seckill-baseline-lua-stream-100t-1l-r1.jtl,docs/JmeterTestSummary/seckill-baseline-lua-stream/2026-05-16-seckill-baseline-lua-stream-100t-1l-summary-r1.csv,docs/JmeterTestSummary/seckill-baseline-lua-stream/2026-05-16-seckill-baseline-lua-stream-100t-1l-aggregate-r1.csv,benchmark/report-2026-05-16-seckill-baseline-lua-stream-100t-1l-r1
2026-05-16,2026-05-16-seckill-baseline-lua-stream-1000t-1l-r1,seckill-baseline-lua-stream,baseline-lua-stream,1000,1,5,1000,1000,2000,1000,11,1,1000,205.88841,2,1,2,2,22,0,27,0.000%,7193,81,50,1000,0,0,0,1000,,,1001,0,,,pass,docs/JmeterTestSummary/seckill-baseline-lua-stream/2026-05-16-seckill-baseline-lua-stream-1000t-1l-r1-run-summary.md,benchmark/2026-05-16-seckill-baseline-lua-stream-1000t-1l-r1.jtl,docs/JmeterTestSummary/seckill-baseline-lua-stream/2026-05-16-seckill-baseline-lua-stream-1000t-1l-summary-r1.csv,docs/JmeterTestSummary/seckill-baseline-lua-stream/2026-05-16-seckill-baseline-lua-stream-1000t-1l-aggregate-r1.csv,benchmark/report-2026-05-16-seckill-baseline-lua-stream-1000t-1l-r1
2026-05-16,2026-05-16-seckill-baseline-lua-stream-5000t-1l-r1,seckill-baseline-lua-stream,baseline-lua-stream,5000,1,5,5000,1000,5000,1000,11,1,5000,1153.40254,67,1,120,155,1100,0,1116,0.000%,8312,78,50,1000,0,0,0,1000,,,1001,0,,,pass,docs/JmeterTestSummary/seckill-baseline-lua-stream/2026-05-16-seckill-baseline-lua-stream-5000t-1l-r1-run-summary.md,benchmark/2026-05-16-seckill-baseline-lua-stream-5000t-1l-r1.jtl,docs/JmeterTestSummary/seckill-baseline-lua-stream/2026-05-16-seckill-baseline-lua-stream-5000t-1l-summary-r1.csv,docs/JmeterTestSummary/seckill-baseline-lua-stream/2026-05-16-seckill-baseline-lua-stream-5000t-1l-aggregate-r1.csv,benchmark/report-2026-05-16-seckill-baseline-lua-stream-5000t-1l-r1
2026-05-16,2026-05-16-seckill-baseline-lua-stream-5000t-5l-r1,seckill-baseline-lua-stream,baseline-lua-stream,5000,5,5,25000,1000,5000,1000,11,1,25000,5120.85211,3,1,5,16,43,0,149,0.000%,7189,75,50,1000,0,0,0,1000,,,1001,0,,,pass,docs/JmeterTestSummary/seckill-baseline-lua-stream/2026-05-16-seckill-baseline-lua-stream-5000t-5l-r1-run-summary.md,benchmark/2026-05-16-seckill-baseline-lua-stream-5000t-5l-r1.jtl,docs/JmeterTestSummary/seckill-baseline-lua-stream/2026-05-16-seckill-baseline-lua-stream-5000t-5l-summary-r1.csv,docs/JmeterTestSummary/seckill-baseline-lua-stream/2026-05-16-seckill-baseline-lua-stream-5000t-5l-aggregate-r1.csv,benchmark/report-2026-05-16-seckill-baseline-lua-stream-5000t-5l-r1
2026-05-20,2026-05-20-seckill-baseline-lua-stream-1000t-1l-r1,seckill-baseline-lua-stream,baseline-lua-stream,1000,1,5,1000,1000,2000,1000,11,1,1000,207.46888,6,1,2,16,201,0,209,0.200%,7432,30059,50,998,2,0,2,998,stream.orders,g1,999,0,stream.orders.dlq,0,fail,docs/JmeterTestSummary/seckill-baseline-lua-stream/2026-05-20-seckill-baseline-lua-stream-1000t-1l-r1-run-summary.md,benchmark/2026-05-20-seckill-baseline-lua-stream-1000t-1l-r1.jtl,docs/JmeterTestSummary/seckill-baseline-lua-stream/2026-05-20-seckill-baseline-lua-stream-1000t-1l-summary-r1.csv,docs/JmeterTestSummary/seckill-baseline-lua-stream/2026-05-20-seckill-baseline-lua-stream-1000t-1l-aggregate-r1.csv,skipped
2026-05-20,2026-05-20-seckill-baseline-lua-stream-1000t-1l-r2,seckill-baseline-lua-stream,baseline-lua-stream,1000,1,5,1000,1000,2000,1000,11,2,1000,209.99580,1,1,2,2,2,0,21,0.200%,7287,30040,50,998,2,0,2,998,stream.orders,g1,999,0,stream.orders.dlq,0,fail,docs/JmeterTestSummary/seckill-baseline-lua-stream/2026-05-20-seckill-baseline-lua-stream-1000t-1l-r2-run-summary.md,benchmark/2026-05-20-seckill-baseline-lua-stream-1000t-1l-r2.jtl,docs/JmeterTestSummary/seckill-baseline-lua-stream/2026-05-20-seckill-baseline-lua-stream-1000t-1l-summary-r2.csv,docs/JmeterTestSummary/seckill-baseline-lua-stream/2026-05-20-seckill-baseline-lua-stream-1000t-1l-aggregate-r2.csv,skipped
2026-05-20,2026-05-20-seckill-baseline-lua-stream-1000t-1l-r3,seckill-baseline-lua-stream,baseline-lua-stream,1000,1,5,1000,1000,2000,1000,11,3,1000,207.25389,2,1,2,2,36,0,43,0.000%,7221,73,50,1000,0,0,0,1000,stream.orders,g1,1001,0,stream.orders.dlq,0,pass,docs/JmeterTestSummary/seckill-baseline-lua-stream/2026-05-20-seckill-baseline-lua-stream-1000t-1l-r3-run-summary.md,benchmark/2026-05-20-seckill-baseline-lua-stream-1000t-1l-r3.jtl,docs/JmeterTestSummary/seckill-baseline-lua-stream/2026-05-20-seckill-baseline-lua-stream-1000t-1l-summary-r3.csv,docs/JmeterTestSummary/seckill-baseline-lua-stream/2026-05-20-seckill-baseline-lua-stream-1000t-1l-aggregate-r3.csv,skipped
2026-05-20,2026-05-20-seckill-baseline-lua-stream-5000t-1l-r1,seckill-baseline-lua-stream,baseline-lua-stream,5000,1,5,5000,1000,5000,1000,11,1,5000,1055.07491,16,1,8,107,151,0,1067,0.000%,7281,71,50,1000,0,0,0,1000,stream.orders,g1,1001,0,stream.orders.dlq,0,pass,docs/JmeterTestSummary/seckill-baseline-lua-stream/2026-05-20-seckill-baseline-lua-stream-5000t-1l-r1-run-summary.md,benchmark/2026-05-20-seckill-baseline-lua-stream-5000t-1l-r1.jtl,docs/JmeterTestSummary/seckill-baseline-lua-stream/2026-05-20-seckill-baseline-lua-stream-5000t-1l-summary-r1.csv,docs/JmeterTestSummary/seckill-baseline-lua-stream/2026-05-20-seckill-baseline-lua-stream-5000t-1l-aggregate-r1.csv,skipped
